Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-21 21:13:43,"8.9","Japan","My Hero Academia: Two Heroes","Who is your hero?","Yosuke Kuroda-Kohei Horikoshi-Hitoshi Nagai","2018",1:36:52,"N/A","All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called  I-Island , where they research quirks as well as hero supplemental items at the special  I-Expo  convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.","Kenji Nagasaki","BONES","N/A","2018-08-03","Daiki Yamashita-Kenta Miyake-Katsuhisa Namase-Mirai Shida-Nobuhiko Okamoto-Yuki Kaji-Ayane Sakura-Kaito Ishikawa-Toshiki Masuda-Ryo Hirohashi-Tasuku Hatanaka-Marina Inoue-Aoi Yuki-Kei Shindo-Rikiya Koyama-Eri Kitamura-Kaori Nazuka-Mitsuru Ogata-Akio Otsuka-Daigo Yamamoto-Nobuyuki Hayakawa-Genta Aoki-Mami Sugino-Kensuke Sato-Keiji Hirai-Tomomi Kawamura-Kiyotaka Furushima-Tooru Nara-Masakazu Nishida-Yoshimasa Hosoya-Ryohei Kimura-Kenichi Mochizuki-Misuzu Togashi-Takayuki Masuda-Aya Kawakami-Masaya Fukunishi-Wakana Minami-Ryota Iwasaki-Haruka Shamoto-Takahiro Sumi-Hiroaki Okuda-Ayako Kamegai-Aisun Kochu-Ai Kobayashi-Atsuhiro Saito-Risa Joji-Youko Taniguchi-Yuuya Tabata-Honoka Tsumita-Asami Namiki-Yuka Hojo-Yukiko Yamashita",N/A,"10","僕のヒーローアカデミア THE MOVIE ～2人の英雄～","Action-Adventure-Animation-Fantasy-Science Fiction-Comedy","PG-13"
2021-00-21 21:14:08,"9.4","Japan","My Neighbor Totoro","N/A","Hayao Miyazaki","1988",1:26:25,"1","Two young girls, 10-year-old Satsuki and her 4-year-old sister Mei, move into a house in the country with their father to be closer to their hospitalized mother. Satsuki and Mei discover that the nearby forest is inhabited by magical creatures called Totoros (pronounced toe-toe-ro). They soon befriend these Totoros, and have several magical adventures.","Hayao Miyazaki","Studio Ghibli","N/A","1988-04-16","Noriko Hidaka-Hitoshi Takagi-Chika Sakamoto-Shigesato Itoi-Sumi Shimamoto-Tanie Kitabayashi-Masashi Hirose-Yûko Maruyama-Shigeru Chiba-Toshiyuki Amagasa",N/A,"9.4","となりのトトロ","Family-Animation-Fantasy","G"
2021-00-21 21:14:07,"7.5","Japan","My Neighbors the Yamadas","The safety of family is the wish of the world","Isao Takahata-Hisaichi Ishii","1999",1:44:53,"N/A","The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humourous to the heartbreaking, we see this family cope with life s little conflicts, problems and joys in their own way.","Isao Takahata","Studio Ghibli","N/A","1999-07-17","Hayato Isohata-Masako Araki-Naomi Uno-Tôru Masuoka-Yukiji Asaoka-Akiko Yano-Kosanji Yanagiya-Tamao Nakamura-Chôchô Miyako",N/A,"7.8","ホーホケキョ となりの山田くん","Animation-Family-Comedy","PG"
2021-00-21 21:14:07,"9.6","Japan","Nausicaä of the Valley of the Wind","A young girl s love called forth miracles…","Hayao Miyazaki","1984",1:57:02,"N/A","An animated fantasy-adventure. Set one thousand years from now, the Earth is ravaged by pollution and war. In the Valley of the Wind lives Nausicaä, Princess of her people. Their land borders on a toxic jungle, filled with dangerous over-sized insects. Meanwhile, two nearby nations are bitterly engaged in a war and the Valley of the Wind is stuck in the middle.","Hayao Miyazaki","Topcraft","Nausicaa of the Valley of the Wind","1984-03-11","Sumi Shimamoto-Ichirō Nagai-Gorō Naya-Yōji Matsuda-Yoshiko Sakakibara-Iemasa Kayumi-Hisako Kyoda-Mahito Tsujimura-Mina Tominaga-Kōhei Miyauchi-Joji Yanami-Minoru Yada-Rihoko Yoshida-Tetsuo Mizutori-Masako Sugaya-Takako Sasuga-Chika Sakamoto-Tarako-Mugihito-Akiko Tsuboi-Takeki Nakamura-Takako Ôta-Bin Shimada-Shinji Nomura-Hisako Ayuhara-Hochu Otsuka-Glüme Harlow",N/A,"N/A","風の谷のナウシカ","Adventure-Fantasy-Animation-Science Fiction","PG"
2021-00-21 21:13:13,"8.5","Japan","Neon Genesis Evangelion: The End of Evangelion","The fate of destruction is also the joy of rebirth","Hideaki Anno","1997",1:27:06,"1","After the defeat of the final Angel, Shinji Ikari falls into a deep depression. When SEELE orders the JSSDF to make a surprise attack on NERV s headquarters, Gendo Ikari retreats down into Terminal Dogma along with Rei Ayanami, where he begins to advance his own plans for the Human Instrumentality Project. Eventually, Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.","Hideaki Anno-Kazuya Tsurumaki","GAINAX","N/A","1997-07-19","Megumi Ogata-Megumi Hayashibara-Kotono Mitsuishi-Yuko Miyamura-Fumihiko Tachiki-Miki Nagasawa-Takehito Koyasu-Hiro Yuuki-Yuriko Yamaguchi-Motomu Kiyokawa-Akira Ishida-Mugihito",N/A,"8.8","新世紀エヴァンゲリオン劇場版 Air／まごころを、君に","Science Fiction-Action-Anime-Animation-Drama-Fantasy","TV-MA"
2021-00-21 21:14:05,"7.5","Japan","No Game No Life: Zero","N/A","Jukki Hanada","2017",1:46:20,"N/A","Adaption of the sixth Light Novel of series, it follows the story of two new characters - Riku and Shuvi - during the events of the Ancient War, prior to the 10 pledges.","Atsuko Ishizuka","Madhouse","N/A","2017-07-15","Yoko Hikasa-Ai Kayano-Yoshitsugu Matsuoka-Kazuyuki Okitsu-Ryota Takeuchi-Yui Horie-Junichi Suwabe-Miyuki Sawashiro-Yukari Tamura-Lynn-Mamiko Noto-Nanako Mori-Rie Kugimiya-Yuka Iguchi-Toru Okawa",N/A,"N/A","ノーゲーム・ノーライフ ゼロ","Adventure-Action-Anime-Fantasy-Animation-Comedy-Drama-Romance","R"
2021-00-21 21:14:03,"6.5","Japan","Ocean Waves","N/A","Keiko Niwa","1993",1:13:36,"N/A","The main character travels to his hometown for his high school reunion. During the trip, he recalls the memories of the days in high school. Friendship, subtle love, a trip to Tokyo and so on all came back to him as the film evolves.","Tomomi Mochizuki","Studio Ghibli","N/A","1993-05-05","Nobuo Tobita-Toshihiko Seki-Youko Sakamoto-Yuri Amano-Kae Araki-Jun ichi Kanemaru-Ai Satou-Aya Hisakawa-Tomokazu Seki-Hikaru Midorikawa-Ako Mayama-Sumi Shimamoto-Reiko Suzuki",N/A,"8.9","海がきこえる","Romance-Animation-Drama-TV Movie-Anime","PG"
2021-00-21 21:14:00,"8.3","Japan","Only Yesterday","I’m going on a trip with Me","Isao Takahata","1991",1:59:16,"N/A","It’s 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, where she begins to reconnect to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.","Isao Takahata","Studio Ghibli","N/A","1991-07-20","Miki Imai-Toshirō Yanagiba-Yoko Honna-Mayumi Iizuka-Masahiro Itou-Chie Kitagawa-Yoshimasa Kondô-Yuuki Masuda-Yuki Minowa-Michie Terada-Yorie Yamashita-Ichirō Nagai-Issey Takahashi",N/A,"10","おもひでぽろぽろ","Animation-Drama-Romance","PG"
2021-00-21 21:13:59,"9.4","Japan","Perfect Blue","The color of illusion is Perfect Blue.","Sadayuki Murai-Yoshikazu Takeuchi","1997",1:22:42,"N/A","Mima leaves the idol group CHAM, in order to pursue her dream as an actress. Mima climbs up the rocky road to success by performing as rape victims and posing nude for magazines, but is haunted by her reflections of the past.","Satoshi Kon","Rex Entertainment","N/A","1997-08-05","Junko Iwao-Rica Matsumoto-Shinpachi Tsuji-Masaaki Okura-Yousuke Akimoto-Yoku Shioya-Hideyuki Hori-Emi Shinohara-Masashi Ebara-Kiyoyuki Yanada-Tōru Furusawa-Shiho Niiyama-Emiko Furukawa-Aya Hara-Shin-ichiro Miki-Jin Yamanoi-Takashi Nagasako-Megumi Tano-Emi Motoi-Akio Suyama-Osamu Hosoi-Kōichi Tōchika-Soichiro Hoshi-Kisho Taniyama-Shokkâ Ôno-Rofuto Purasu Wan Burazâzu-Makoto Kitano-Kaori Minami",N/A,"N/A","パーフェクトブルー","Animation-Thriller-Mystery-Crime","R"
2021-00-21 21:13:42,"8","Japan","The Place Promised in Our Early Days","Against all odds, a promise will be kept.","Makoto Shinkai","2004",1:30:19,"N/A","In a post-war alternative timeline, Japan is divided into the North, controlled by the Union, and the South, controlled by the United States. A mysterious high tower rises within the borders of the Union. Three high school students promise to cross the border with a self-built airplane and unravel the secret of the tower.","Makoto Shinkai","CoMix Wave Films","Place Promised in Our Early Days","2004-11-20","Hidetaka Yoshioka-Masato Hagiwara-Yuuka Nanri-Unsho Ishizuka-Kazuhiko Inoue-Risa Mizuno-Hidenobu Kiuchi-Masami Iwasaki-Eiji Takemoto-Takahiro Hirano-Takeshi Maeda-Yûki Nakao-Rie Nakagawa",N/A,"8","雲のむこう、約束の場所","Animation-Adventure-Drama-Romance-Science Fiction","TV-PG"
