Added,Audience Rating,Country,Title,Tagline,Writers,Year,Duration,View Count,Summary,Directors,Studio,Sort title,Release Date,Roles,Labels,Rating,Original Title,Genre,Content Rating
2021-00-19 22:24:25,"6.5","Japan-United States of America","G.I. Joe: The Movie","N/A","Ron Friedman-Roger Slifer","1987",1:33:23,"N/A","The heroic G.I. Joe action force must oppose the ruthless Cobra organization that has secretly allied with a subterranean reptilian people who were their founders.","Don Jurwich","Sunbow Productions","N/A","1987-07-18","Charlie Adler-Shuko Akune-Jack Angel-Michael Bell-Gregg Berger-Earl Boen-Arthur Burghardt-Corey Burton-William Callaway-François Chau-Peter Cullen-Brian Cummings-Jennifer Darling-Richard Gautier-Ed Gilbert-Dan Gilvezan-Laurie Faso-Don Johnson",N/A,"4.3","G.I. Joe : The Movie","Animation-Thriller-Action-Adventure-Science Fiction-Family-Fantasy","PG"
2021-00-19 22:26:01,"7","United States of America","Green Lantern: First Flight","Superman was born a hero. Batman became a hero. But only Green Lantern was chosen.","Alan Burnett-Jay Oliva","2009",1:18:37,"N/A","Test pilot Hal Jordan finds himself recruited as the newest member of the intergalactic police force, The Green Lantern Corps.","Lauren Montgomery","DC Comics","N/A","2009-07-28","Christopher Meloni-Victor Garber-Michael Madsen-Tricia Helfer-John Larroquette-Kurtwood Smith-Larry Drake-William Schallert-Olivia d Abo-Juliet Landau-David L. Lander-Richard McGonagle-Rob Paulsen-Kath Soucie-Bruce Timm-Jim Wise",N/A,"5","N/A","Action-Adventure-Animation-Science Fiction-Fantasy","PG-13"
2021-00-19 22:57:30,"9","United States of America","The Iron Giant","It came from outer space!","Ted Hughes","1999",1:30:59,"N/A","This is the story of a nine-year-old boy named Hogarth Hughes who makes friends with an innocent alien giant robot that came from outer space. Meanwhile, a paranoid U.S. Government agent named Kent Mansley arrives in town, determined to destroy the giant at all costs. It s up to Hogarth to protect him by keeping him at Dean McCoppin s place in the junkyard.","Brad Bird","Warner Bros. Pictures","Iron Giant","1999-08-06","Eli Marienthal-Jennifer Aniston-Harry Connick Jr.-Vin Diesel-James Gammon-Cloris Leachman-Christopher McDonald-John Mahoney-M. Emmet Walsh-Jack Angel-Bob Bergen-Mary Kay Bergman-Michael Bird-Devon Cole Borisoff-Rodger Bumpass-Robert Clotworthy-Jennifer Darling-Zack Eginton-Paul Eiding-Bill Farmer-Charles Howerton-Ollie Johnston-Sherry Lynn-Mickie McGowan-Ryan O Donohue-Phil Proctor-Frank Thomas-Patti Tippo-Brian Tochi-Pat Fry-Mark Hubley-Carole Jeghers-Jack Paar",N/A,"9.6","N/A","Action-Adventure-Animation-Family-Science Fiction-Comedy-Drama","PG"
2021-00-19 22:26:27,"8.7","Germany-United States of America","Isle of Dogs","Welcome to the Isle of Dogs.","Wes Anderson","2018",1:41:10,"N/A","An outbreak of dog flu has spread through the city of Megasaki, Japan, and Mayor Kobayashi has demanded all dogs to be sent to Trash Island. On the island, a young boy named Atari sets out to find his lost dog, Spots, with the help of five other dogs... with many obstacles along the way.","Wes Anderson","Studio Babelsberg","N/A","2018-03-30","Bryan Cranston-Koyu Rankin-Bob Balaban-Edward Norton-Bill Murray-Jeff Goldblum-Kunichi Nomura-Fisher Stevens-Akira Takayama-Greta Gerwig-Ken Watanabe-Frances McDormand-Nijiro Murakami-Harvey Keitel-Liev Schreiber-Scarlett Johansson-Tilda Swinton-Akira Ito-F. Murray Abraham-Courtney B. Vance-Yōko Ono-Mari Natsuki-Yojiro Noda-Frank Wood-Roman Coppola-Anjelica Huston-Kara Hayward-Satoshi Yamazaki-Gen Ueda-Ryuhei Matsuda-Jun Takahashi-Edward Bursch-Luli Shioi-Erica Dorn-Chinami Narikawa-Chris Benz-Alex Orman-J. Wurster-Jake Ryan-Takayuki Yamada-Kozue Akimoto-Shota Matsuda-Kiyotaka Mizukoshi-Elaiza Ikeda-Ryuhei Nakadai-Shin Mononobe-Ikunosuke-Taichi Kodama-Karin Okoso",N/A,"9","N/A","Comedy-Animation-Adventure-Drama-Fantasy-Science Fiction","PG-13"
2021-00-19 22:28:57,"6.9","United States of America","Justice League Dark","Every super hero has a dark side.","Alan Moore-Jack Kirby-Peter Milligan-Len Wein-Ernie Altbacker","2017",1:16:51,"1","Beings with supernatural powers join together to fight against supernatural villains. This team of supernatural beings include John Constantine, Zatanna and Jason Blood also known as the demon Etrigan.","Jay Oliva","Warner Bros. Animation","N/A","2017-02-07","Matt Ryan-Jason O Mara-Camilla Luddington-Nicholas Turturro-Rosario Dawson-Jerry O Connell-Alfred Molina-Roger Cross-Jeremy Davies-Enrico Colantoni-Fred Tatasciore-J. B. Blanc-Jeffrey Vincent Parise-Brian T. Delaney-Dee Bradley Baker-Ray Chase-Colleen O Shaughnessey-Laura Post",N/A,"7.8","N/A","Animation-Action-Adventure-Science Fiction-Family-Fantasy-Horror-Thriller","R"
2021-00-19 22:32:05,"9","United States of America","Justice League Dark: Apokolips War","The war to end all wars.","Bob Kane-Jamie Delano-Alan Moore-Jack Kirby-Jerry Siegel","2020",1:30:12,"1","A poorly executed attack on Apokolips results in the deaths of many of DC s heroes and Darkseid successfully conquering the earth. Now the remaining heroes must regroup and consider a new strategy in order to take their planet back from the intergalactic tyrant.","Matt Peters-Christina Sotta","Warner Bros. Animation","N/A","2020-05-19","Matt Ryan-Jerry O Connell-Taissa Farmiga-Jason O Mara-Rosario Dawson-Stuart Allan-Rebecca Romijn-Rainn Wilson-Tony Todd-Shemar Moore-Christopher Gorham-Ray Chase-Camilla Luddington-Hynden Walch-Liam McIntyre-Roger Cross-John DiMaggio-Sachie Alessio-Matt Lanter-Sean Astin-Nyambi Nyambi-Jon Bernthal",N/A,"10","N/A","Animation-Action-Adventure-Fantasy-Science Fiction","R"
2021-00-19 22:38:38,"6.4","United States of America","Justice League vs the Fatal Five","When the future collides with the past, there s no time to waste.","Alan Burnett-James Krieg-Eric Carrasco","2019",1:17:30,"1","The Justice League battles the Fatal Five, (Tharok, Emerald Empress, Validus, Mano and the Persuader). Based on the characters created by Jim Shooter.","Sam Liu","Warner Bros. Animation","N/A","2019-03-30","Elyes Gabel-Diane Guerrero-Kevin Conroy-Susan Eisenberg-George Newbern-Daniela Bobadilla-Kevin Michael Richardson-Noel Fisher-Peter Jessop-Tom Kenny-Matthew Yang King-Sumalee Montano-Philip Anthony-Rodriguez-Tara Strong-Bruce Timm",N/A,"10","N/A","Animation-Science Fiction-Fantasy-Action","PG-13"
2021-00-19 22:26:54,"7.2","United States of America","Justice League: Crisis on Two Earths","When Justice meets its match, worlds collide.","Rick Morales-Jay Oliva-Dwayne McDuffie","2010",1:15:21,"1","A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman s counterpart Owlman, puts the balance of all existence in peril.","Lauren Montgomery-Sam Liu","DC Comics","N/A","2010-02-23","William Baldwin-James Woods-Mark Harmon-Gina Torres-Vanessa Marshall-Chris Noth-Brian Bloom-Jonathan Adams-Nolan North-Josh Keaton-Bruce Davison-James Patrick Stuart-Jeff Bennett-Jim Meskimen-Freddi Rogers-Bruce Timm-Cedric Yarbrough-Kari Wuhrer-Carlos Alazraqui-Andrea Romano",N/A,"N/A","N/A","Animation-Action-Adventure-Science Fiction-Fantasy","PG-13"
2021-00-19 22:32:25,"8.7","Japan-United States of America","Justice League: Doom","The end of justice.","Dwayne McDuffie-Mark Waid","2012",1:17:52,"1","An adaptation of Mark Waid s  Tower of Babel  story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.","Lauren Montgomery","DC Entertainment","N/A","2012-02-28","Kevin Conroy-Tim Daly-Susan Eisenberg-Michael Rosenbaum-Carl Lumbly-Paul Blackthorne-Bumper Robinson-Phil Morris-Nathan Fillion-Carlos Alazraqui-Claudia Black-Olivia d Abo-Alexis Denisof-David Kaufman-Grey DeLisle-Robin Atkin Downes-Dee Bradley Baker-Brian George-Juliet Landau-Jim Meskimen-Andrea Romano-Bruce Timm-Danny Jacobs",N/A,"N/A","N/A","Animation-Action-Thriller-Fantasy-Science Fiction","PG-13"
2021-00-19 22:37:09,"9.3","United States of America","Justice League: The Flashpoint Paradox","Fight the future.","James Krieg-Jim Lee-Geoff Johns","2013",1:21:15,"1","An alteration of the timeline for the superhero, The Flash. The Flash must team with other heroes to restore the timeline while the Earth is ravaged by a war between Aquaman s Atlantis and Wonder Woman s Amazons.","Jay Oliva","Studio 4°C","N/A","2013-07-30","Justin Chambers-C. Thomas Howell-Michael B. Jordan-Kevin McKidd-Kevin Conroy-Dee Bradley Baker-Steve Blum-Sam Daly-Dana Delany-Grey DeLisle-Cary Elwes-Michael Beach-Nathan Fillion-Jennifer Hale-Danny Huston-Danny Jacobs-Peter Jessop-Vanessa Marshall-Candi Milo-Ron Perlman-Kevin Michael Richardson-Andrea Romano-James Patrick Stuart-Hynden Walch",N/A,"10","N/A","Animation-Fantasy-Science Fiction-Action-Adventure","PG-13"
